number,serve position,serve velocity,landing position,target,drone hitting positon,drone hitting velocity,drone hitting attitude
1,0.925564  1.37103        2,  -2.10831 -0.0241259    7.46583,-1.94031  1.33823        0,1.75    0    0,-1.69636  1.34103  1.41387, 3.13608  1.10603 0.467609, 0.0404989    0.17722 0.00729905    0.98331
2,1.71436 2.02799       2, -3.10291 -0.587512   8.49315,-2.60609  1.20995        0,1.75    0    0,-2.24729  1.27789  1.61816, 2.17648  1.45643 0.568989, 0.0243082   0.206899 0.00514223   0.978047
3,3.92024 1.15039       2,-4.14645 0.977717  7.19981,-1.32945  2.38825        0,1.75    0    0,failed,failed,failed
4,3.29909 1.87716       2, -5.28022 -0.723677    7.3339,-3.22646 0.982805        0,1.75    0    0,-2.58121  1.07124  1.59017,2.09102 1.41163 1.04683, 0.0112891   0.241724 0.00281245   0.970275
5,3.50119 2.20135       2,  -3.5689 -0.638923    6.9871,-1.04511  1.38745        0,1.75    0    0,failed,failed,failed
6,4.35152 2.05347       2,-7.10992 -0.37165  7.90915,-4.23596  1.60458        0,1.75    0    0,-3.22925  1.65721  1.99113,1.36588 1.98762 1.64451, 0.0338343   0.272993 0.00960765   0.961373
7, 4.3191 1.27321       2,-6.05161 0.161418  8.68145,-3.49694  1.48169        0,1.75    0    0,-2.83286  1.46398  1.70904, 1.89098  1.56581 0.769026,0.0456936  0.259085 0.0122718  0.964695
8,1.76758 1.71739       2,  -4.80737 -0.0659617    7.22328,-4.23267  1.63506        0,1.75    0    0,failed,failed,failed
9,3.75069 1.33701       2, -6.60073 0.0217227    7.2702,-4.07464  1.36276        0,1.75    0    0,-3.03808  1.35935  1.99967,1.48694 1.65183 1.79016, 0.0338466   0.265493 0.00932671   0.963473
10,1.71779 1.77226       2,  -5.12217 -0.0214901    6.67211,-4.39864   1.7466        0,1.75    0    0,failed,failed,failed
11,2.52849  2.1686       2, -3.25713 -0.584325   6.72708,-1.5819  1.4312       0,1.75    0    0,failed,failed,failed
12, 2.2987 1.50749       2, -4.81276 -0.473328   6.88022,-3.58104 0.929227        0,1.75    0    0,failed,failed,failed
13, 2.10735 0.996482        2, -4.69951 0.0732058   8.21909,-4.08438  1.09293        0,1.75    0    0,failed,failed,failed
14,0.78161 1.34899       2, -3.93665 -0.359897   7.51219,-4.33027 0.881651        0,1.75    0    0,-3.50123 0.957444  2.40919,0.646119 0.823106  2.50397,   0.01387   0.236567 0.00337742    0.97151
15,3.84842 1.01485       2,-6.57673 0.896812  7.57841,-4.07949  2.09591        0,1.75    0    0,-3.07349  1.95873  2.01358,1.65142 2.32071 1.80926,0.0698302  0.264949 0.0192415  0.961538
16,2.26571 1.42497       2, -3.25274 -0.275136   6.97739,-1.91504  1.07134        0,1.75    0    0,-1.6137 1.09683 1.13614, 3.07513  1.31236 0.371683,  0.026226   0.199171 0.00533224   0.979599
17, 3.08148 0.918848        2,-3.95254 0.354674  6.51502,-1.7488 1.35229       0,1.75    0    0,failed,failed,failed
18,4.06991 2.28171       2,-7.56212 -1.16176  6.88532,-4.44147 0.974115        0,1.75    0    0,failed,failed,failed
19,4.12445 1.68839       2,-3.83414 0.512134  7.05755,-0.738639   2.33796         0,1.75    0    0,failed,failed,failed
20, 2.5606 2.13521       2, -3.27548 -0.431419   7.76555,-1.82667  1.55736        0,1.75    0    0,failed,failed,failed
21,2.52798 1.08112       2,-4.62262 0.463288  7.87805,-3.46538  1.68179        0,1.75    0    0,-2.78876  1.61398  1.92989,1.78684  1.8024  1.3884,0.0551659  0.238019 0.0135423  0.969598
22,2.95917 1.05235       2, -3.9869 0.159472  6.59365,-1.94444  1.24849        0,1.75    0    0,-1.58311  1.23403   1.0928, 3.26716  1.49315 0.395305, 0.0407565   0.210957 0.00880383   0.976606
23,0.886407  1.23398        2,-2.10246  0.33179   8.4237,-2.10437  1.70595        0,1.75    0    0,-1.95358  1.68216  1.05334,2.06761 0.40227  0.5647,0.0607908  0.180053 0.0111494  0.981713
24,1.67634 1.42322       2,-3.23193 0.433112  7.82343,-2.67318   2.0061        0,1.75    0    0,-2.24393  1.94858  1.69578,2.31958 2.10561  1.0468,0.0685451  0.209192 0.0147013  0.975359
25, 1.6184 1.44651       2,-2.22125 0.437138  8.27481,-1.51324  2.06281        0,1.75    0    0,failed,failed,failed
26,4.20126 2.42933       2, -4.20353 -0.630899   6.88966,-1.02402  1.64508        0,1.75    0    0,failed,failed,failed
27,1.66867 1.88329       2, -3.2152 0.299054  8.34301,-2.77301  2.29643        0,1.75    0    0,failed,failed,failed
28,3.95015 1.44091       2,-6.70588 0.347494  7.61597,-4.11506  1.85884        0,1.75    0    0,-3.16578  1.80965  1.92935,1.70135 2.24494 1.66271,0.0532612  0.267127 0.0147883  0.962075
29,1.38069 2.22065       2, -2.07342 -0.524469    8.0579,-1.52177  1.48648        0,1.75    0    0,failed,failed,failed
30,2.22674 1.68244       2, -2.40781 -0.389842   7.86837,-1.08769  1.14581        0,1.75    0    0,failed,failed,failed
31,4.26298 2.30316       2, -7.27094 -0.742194   6.85515,-3.97426  1.46233        0,1.75    0    0,-2.91755  1.57019  1.83873,1.73602 2.19375 1.69726, 0.0202671   0.268833 0.00565805   0.962957
32,2.15795 2.45664       2,-4.25988   -1.233  7.21631,-3.21056 0.902764        0,1.75    0    0,-2.65995  1.06213  1.60477,2.11894 1.53204 1.16953, -0.00271595     0.225996 -0.000630097     0.974124
33,3.48528 2.36022       2,-4.30871 -0.46026  7.07298,-1.91507  1.78335        0,1.75    0    0,failed,failed,failed
34,3.84355 1.97328       2,  -5.05086 -0.0797207    8.22248,-2.73736  1.86941        0,1.75    0    0,-2.48989  1.87332 0.811184, 2.01466  0.44402 0.627523,  0.05508  0.236615 0.0134365  0.969948
35,3.42469 2.38901       2, -4.88589 -0.788288   7.91351,-2.87189  1.37313        0,1.75    0    0,-2.36344  1.45516  1.46236,  2.3088  1.72479 0.639271,  0.023577   0.234792 0.00569666   0.971743
36,3.27832 2.13644       2,  -3.5957 -0.664622   6.79371,-1.24042  1.30121        0,1.75    0    0,failed,failed,failed
